county,city,school
Massachusetts,Boston,UNIV MASSACHUSETTS BOSTON
Florida,Coral Gbles,UNIVERSITY OF MIAMI
Pennsylvania,Bethlehem,LEHIGH UNIVERSITY
Washington,Lynnwood,EDMONDS COMMUNITY COLLEGE
New York,New York,BOROUGH MANHATTN C C
Los Angeles,Norwalk,CERRITOS COLLEGE
CANADA,N/A,SIMON FRASER UNIVERSITY
Iowa,Iowa City,UNIVERSITY OF IOWA
Florida,Orlando,VALENCIA COMMUNITY COLLEGE
Illinois,Chicago,COLUMBIA COLLEGE CHICAGO
Washington,Bothell,CASCADIA COLLEGE
Arizona,"",ARIZONA
Texas,El Paso,UNIVERSITY OF TEXAS EL PASO
Orange,Huntington Beach,GOLDEN WEST COLLEGE
Massachusetts,Franklin,DEAN COLLEGE
San Diego,San Diego,POINT LOMA NAZARENE UNIVERSITY
Illinois,Chicago,UNIVERSITY OF CHICAGO
Illinois,Dekalb,NORTHRN ILLINOIS UNIVERSITY
New Jersey,Paramus,BERGEN COMMUNITY COLLEGE
Georgia,Atlanta,GEORGIA STATE UNIVERSITY
Colorado,Alamosa,ADAMS STATE COLLEGE
Santa Barbara,Santa Barbara,WESTMONT COLLEGE
North Carolina,Raleigh,WAKE TECHNICAL COLLEGE
Florida,Ft Laudrdle,BROWARD COLLEGE
Washington,Seattle,NORTH SEATTLE CMTY COLLEGE
Arizona,Phoenix,GRAND CANYON UNIVERSITY
Los Angeles,Los Angeles,MOUNT ST MARYS COLL CHALON
FRANCE,N/A,SCIENCES PO-PARIS INST PO STUD
Placer,Rocklin,SIERRA COLLEGE
Massachusetts,N Dartmouth,UNIV MASS DARTMOUTH
Los Angeles,Burbank,WOODBURY UNIVERSITY
TAIWAN,N/A,TAIWAN
New York,New York,AMERICAN UNIVERSITY CAIRO
Nevada,N Las Vegas,COLLEGE OF SOUTHERN NEVADA
Hawaii,Honolulu,HAWAII PACIFIC UNIVERSITY
Los Angeles,Claremont,PITZER COLLEGE
Massachusetts,Waltham,BRANDEIS UNIVERSITY
New Hampshire,Durham,UNIV NEW HAMPSHIRE DURHAM
Butte,Chico,CSU CHICO
Florida,Miami,MIAMI DADE COLLEGE
Georgia,Atlanta,CLARK ATLANTA UNIVERSITY
San Bernardino,Barstow,BARSTOW COLLEGE
Utah,Orem,UTAH VALLEY UNIVERSITY
Virginia,Hampton,HAMPTON UNIVERSITY
Maryland,Baltimore,UNIV MARYLAND BALTIMORE CNTY
Massachusetts,Medford,TUFTS UNIVERSITY
Maine,Brunswick,BOWDOIN COLLEGE
Nevada,Reno,UNIV NEVADA RENO
Nevada,Reno,TRUCKEE MEADOWS CMTY COLLEGE
Idaho,Rexburg,BRIGHAM YOUNG UNIV
San Luis Obispo,San Luis Obispo,CUESTA COLLEGE
Ventura,Moorpark,MOORPARK COLLEGE
Missouri,Saint Louis,WASHINGTON UNIVERSITY
Santa Clara,Los Altos Hills,FOOTHILL COLLEGE
New Jersey,New Brnswck,RUTGERS UNIVERSITY
Oregon,Mcminnville,LINFIELD COLLEGE
South Carolina,Columbia,UNIV SOUTH CAROLINA COLUMBIA
CANADA,N/A,MCGILL UNIVERSITY
North Carolina,Raleigh,NORTH CAROLINA STATE UNIV
Los Angeles,Snta Monica,SANTA MONICA COLLEGE
Los Angeles,Wilmington,LOS ANGELES HARBOR COLLEGE
Santa Barbara,Santa Maria,ALLAN HANCOCK COLLEGE
New Mexico,Las Cruces,NEW MEXICO STATE U-UNIV PARK
Riverside,Riverside,RIVERSIDE CITY COLLEGE
Santa Clara,Santa Clara,SANTA CLARA UNIVERSITY
Pennsylvania,Villanova,VILLANOVA UNIVERSITY
Alameda,Berkeley,UC BERKELEY SUMMER SESSION
Tennessee,Memphis,UNIVERSITY OF MEMPHIS
Alabama,Maxwell Afb,COMMUNITY C AIR FORCE
Massachusetts,Gr Barrngtn,BARD COLLEGE AT SIMONS ROCK
Illinois,Chicago,UNIV ILLINOIS CHICAGO
Yolo,Davis,UC DAVIS
Los Angeles,Los Angeles,WEST COAST UNIV
Nebraska,Omaha,CREIGHTON UNIVERSITY
Alameda,Berkeley,BERKELEY CITY COLLEGE
New York,Sartoga Spg,SKIDMORE COLLEGE
Los Angeles,Rancho Palos Verdes,MARYMOUNT CALIFORNIA UNIVERSITY
Georgia,Athens,UNIVERSITY OF GEORGIA
Los Angeles,Long Beach,CSU LONG BEACH
Colorado,Denver,UNIVERSITY COLORADO DENVER
Illinois,Des Plaines,OAKTON COMMUNITY COLLEGE
New York,New York,BARNARD COLLEGE
Florida,Tallahassee,FLORIDA STATE UNIVERSITY
Shasta,Redding,SHASTA COLLEGE
CANADA,N/A,UNIV BRITISH COLUMBIA
Tennessee,Knoxville,UNIV TENNESSEE KNOXVILLE
Oregon,Portland,PORTLAND CMTY COLLEGE
Santa Cruz,Santa Cruz,UC SANTA CRUZ
Orange,Irvine,UC IRVINE
North Carolina,Durham,DUKE UNIVERSITY
Ohio,Cleveland,CASE WESTERN RESERVE UNIV
Washington,Pullman,WASHINGTON STATE UNIV
Minnesota,"",MINNESOTA
Sonoma,Rohnert Prk,SONOMA STATE UNIVERSITY
Alaska,Anchorage,UNIV ALASKA ANCHORAGE
Washington,Spokane,SPOKANE FALLS CMTY COLLEGE
Arizona,Flagstaff,NORTHERN ARIZONA UNIVERSITY
Hawaii,Pearl City,LEEWARD CMTY COLLEGE
Santa Clara,San Jose,SAN JOSE STATE UNIVERSITY
San Bernardino,Redlands,UNIVERSITY OF REDLANDS
Contra Costa,Pleasnt Hl,DIABLO VALLEY COLLEGE
Sacramento,Sacramento,CSU SACRAMENTO
Washington,Seattle,SEATTLE UNIVERSITY
Solano,Vallejo,CALIF MARITIME ACADEMY
Arizona,Phoenix,PHOENIX COLLEGE
Los Angeles,Whittier,RIO HONDO COLLEGE
Pennsylvania,Swarthmore,SWARTHMORE COLLEGE
San Diego,La Jolla,NATIONAL UNIVERSITY
Michigan,Kalamazoo,WESTRN MICHIGAN UNIVERSITY
Orange,Fountain Valley,COASTLINE COMMUNITY COLLEGE
Illinois,Chicago,DEPAUL UNIVERSITY
Orange,Irvine,UC IRVINE SUMMER SESSION
Missouri,"",MISSOURI
Los Angeles,Pasadena,CALIF INSTITUTE TECH
San Bernardino,Joshua Tree,COPPER MOUNTAIN COLLEGE
Georgia,Atlanta,EMORY UNIVERSITY
Colorado,Denver,UNIV DENVER
Colorado,Durango,FT LEWIS COLLEGE
New York,Ithaca,CORNELL UNIVERSITY
Missouri,Nevada,COTTEY COLLEGE
Nevada,North Las Vegas,COLLEGE OF SOUTHERN NEVADA
Arkansas,Fayettevill,UNIV ARKANSAS FAYETTEVILLE
Oregon,Salem,CHEMEKETA CMTY COLLEGE
